FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
97 4F 7F,E- major
87 4F 7F,E- major,0.225260416667
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.225260416667
94 4C 7F,E- major,0.00260416666667
80 30 7F,E- major,0.196614583333
84 4C 7F,E- major,0.0286458333333
91 31 7F,E- major,0.00260416666667
95 4D 7F,E- major
85 4D 7F,E- major,0.225260416667
97 4F 7F,E- major,0.00260416666667
87 4F 7F,E- major,0.225260416667
94 4C 7F,E- major,0.00260416666667
84 4C 7F,E- major,0.225260416667
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.225260416667
97 4F 7F,E- major,0.00260416666667
81 31 7F,E- major,0.1328125
87 4F 7F,E- major,0.0924479166667
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.225260416667
97 2B 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
87 2B 7F,E- major
95 29 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
85 29 7F,E- major
97 2B 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.225260416667
87 2B 7F,E- major
98 2C 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
9B 46 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.225260416667
88 2C 7F,E- major
9B 2E 7F,E- major,0.00260416666667
97 43 7F,E- major
8B 2E 7F,E- major,0.110677083333
98 2C 7F,E- major,0.00260416666667
88 2C 7F,E- major,0.110677083333
87 43 7F,E- major
9B 2E 7F,E- major,0.00260416666667
95 4D 7F,E- major
85 4D 7F,E- major,0.225260416667
94 4C 7F,E- major,0.00260416666667
84 4C 7F,E- major,0.225260416667
92 4A 7F,E- major,0.00260416666667
8B 2E 7F,E- major,0.196614583333
82 4A 7F,E- major,0.0286458333333
90 30 7F,E- major,0.00260416666667
94 4C 7F,E- major
84 4C 7F,E- major,0.225260416667
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.225260416667
92 4A 7F,E- major,0.00260416666667
82 4A 7F,E- major,0.225260416667
94 4C 7F,E- major,0.00260416666667
80 30 7F,E- major,0.208333333333
84 4C 7F,E- major,0.0169270833333
95 29 7F,E- major,0.00260416666667
95 4D 7F,E- major
85 29 7F,E- major,0.208333333333
90 3C 7F,E- major,0.01953125
80 3C 7F,E- major,0.225260416667
85 4D 7F,E- major
9B 3A 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
8B 3A 7F,E- major
90 3C 7F,E- major,0.00260416666667
97 43 7F,E- major
87 43 7F,E- major,0.225260416667
80 3C 7F,E- major
98 38 7F,E- major,0.00260416666667
98 44 7F,E- major
88 38 7F,E- major,0.225260416667
9B 3A 7F,E- major,0.00260416666667
8B 3A 7F,E- major,0.225260416667
88 44 7F,E- major
97 37 7F,E- major,0.00260416666667
9B 46 7F,E- major
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
8B 46 7F,E- major
95 35 7F,E- major,0.00260416666667
90 48 7F,E- major
80 48 7F,E- major,0.110677083333
9B 46 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.110677083333
85 35 7F,E- major
98 38 7F,E- major,0.00260416666667
90 48 7F,E- major
88 38 7F,E- major,0.225260416667
97 37 7F,E- major,0.00260416666667
80 48 7F,E- major,0.22265625
87 37 7F,E- major,0.00260416666667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
91 49 7F,E- major
85 35 7F,E- major,0.225260416667
97 37 7F,E- major,0.00260416666667
87 37 7F,E- major,0.225260416667
93 33 7F,E- major,0.00260416666667
81 49 7F,E- major,0.01953125
83 33 7F,E- major,0.205729166667
95 35 7F,E- major,0.00260416666667
85 35 7F,E- major,0.225260416667
91 31 7F,E- major,0.00260416666667
81 31 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
85 35 7F,E- major,0.225260416667
93 33 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
83 33 7F,E- major
95 35 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
85 35 7F,E- major
91 31 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.110677083333
98 44 7F,E- major,0.00260416666667
88 44 7F,E- major,0.110677083333
81 31 7F,E- major
93 33 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
83 33 7F,E- major
90 30 7F,E- major,0.00260416666667
90 48 7F,E- major
80 30 7F,E- major,0.225260416667
91 31 7F,E- major,0.00260416666667
81 31 7F,E- major,0.225260416667
80 48 7F,E- major
9B 2E 7F,E- major,0.00260416666667
91 49 7F,E- major
81 49 7F,E- major,0.110677083333
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.110677083333
8B 2E 7F,E- major
98 38 7F,E- major,0.00260416666667
91 49 7F,E- major
88 38 7F,E- major,0.225260416667
97 37 7F,E- major,0.00260416666667
87 37 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
81 49 7F,E- major,0.06640625
85 35 7F,E- major,0.158854166667
97 37 7F,E- major,0.00260416666667
93 4B 7F,E- major
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.11328125
85 35 7F,E- major,0.110677083333
97 37 7F,E- major,0.00260416666667
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
90 48 7F,E- major
80 48 7F,E- major,0.225260416667
98 50 7F,E- major,0.00260416666667
88 50 7F,E- major,0.225260416667
88 38 7F,E- major
93 33 7F,E- major,0.00260416666667
97 4F 7F,E- major
87 4F 7F,E- major,0.225260416667
83 33 7F,E- major
91 31 7F,E- major,0.00260416666667
98 50 7F,E- major
88 50 7F,E- major,0.225260416667
81 31 7F,E- major
93 33 7F,E- major,0.00260416666667
95 4D 7F,E- major
85 4D 7F,E- major,0.225260416667
97 4F 7F,E- major,0.00260416666667
87 4F 7F,E- major,0.225260416667
83 33 7F,E- major
95 35 7F,E- major,0.00260416666667
93 4B 7F,E- major
83 4B 7F,E- major,0.225260416667
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.225260416667
85 35 7F,E- major
97 37 7F,E- major,0.00260416666667
91 49 7F,E- major
87 37 7F,E- major,0.110677083333
95 35 7F,E- major,0.00260416666667
85 35 7F,E- major,0.110677083333
81 49 7F,E- major
97 37 7F,E- major,0.00260416666667
9B 52 7F,E- major
8B 52 7F,E- major,0.225260416667
98 50 7F,E- major,0.00260416666667
88 50 7F,E- major,0.225260416667
9B 52 7F,E- major,0.00260416666667
87 37 7F,E- major,0.19921875
8B 52 7F,E- major,0.0260416666667
98 38 7F,E- major,0.00260416666667
90 48 7F,E- major
80 48 7F,E- major,0.225260416667
91 49 7F,E- major,0.00260416666667
81 49 7F,E- major,0.225260416667
9B 46 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.225260416667
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.225260416667
98 44 7F,E- major,0.00260416666667
88 38 7F,E- major,0.1328125
88 44 7F,E- major,0.0924479166667
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
85 35 7F,E- major
93 33 7F,E- major,0.00260416666667
90 48 7F,E- major
80 48 7F,E- major,0.225260416667
83 33 7F,E- major
95 35 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
9B 46 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.225260416667
85 35 7F,E- major
97 37 7F,E- major,0.00260416666667
97 43 7F,E- major
87 43 7F,E- major,0.225260416667
98 44 7F,E- major,0.00260416666667
88 44 7F,E- major,0.225260416667
87 37 7F,E- major
98 38 7F,E- major,0.00260416666667
95 41 7F,E- major
88 38 7F,E- major,0.110677083333
97 37 7F,E- major,0.00260416666667
87 37 7F,E- major,0.110677083333
85 41 7F,E- major
98 38 7F,E- major,0.00260416666667
93 4B 7F,E- major
83 4B 7F,E- major,0.225260416667
92 4A 7F,E- major,0.00260416666667
82 4A 7F,E- major,0.225260416667
90 48 7F,E- major,0.00260416666667
88 38 7F,E- major,0.201822916667
80 48 7F,E- major,0.0234375
9B 3A 7F,E- major,0.00260416666667
92 4A 7F,E- major
82 4A 7F,E- major,0.225260416667
93 4B 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.225260416667
90 48 7F,E- major,0.00260416666667
80 48 7F,E- major,0.225260416667
92 4A 7F,E- major,0.00260416666667
8B 3A 7F,E- major,0.205729166667
82 4A 7F,E- major,0.01953125
97 37 7F,E- major,0.00260416666667
93 4B 7F,E- major
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
83 4B 7F,E- major
97 37 7F,E- major,0.00260416666667
93 3F 7F,E- major
83 3F 7F,E- major,0.225260416667
87 37 7F,E- major
95 35 7F,E- major,0.00260416666667
92 3E 7F,E- major
82 3E 7F,E- major,0.225260416667
85 35 7F,E- major
97 37 7F,E- major,0.00260416666667
93 3F 7F,E- major
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
83 3F 7F,E- major
95 35 7F,E- major,0.00260416666667
95 41 7F,E- major
85 35 7F,E- major,0.225260416667
97 37 7F,E- major,0.00260416666667
87 37 7F,E- major,0.225260416667
85 41 7F,E- major
93 33 7F,E- major,0.00260416666667
97 43 7F,E- major
87 43 7F,E- major,0.110677083333
95 41 7F,E- major,0.00260416666667
85 41 7F,E- major,0.110677083333
83 33 7F,E- major
93 3F 7F,E- major,0.00260416666667
97 43 7F,E- major
83 3F 7F,E- major,0.225260416667
92 3E 7F,E- major,0.00260416666667
87 43 7F,E- major,0.19921875
82 3E 7F,E- major,0.0260416666667
93 3F 7F,E- major,0.00260416666667
83 3F 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
98 44 7F,E- major
80 3C 7F,E- major,0.225260416667
92 3E 7F,E- major,0.00260416666667
88 44 7F,E- major,0.22265625
82 3E 7F,E- major,0.00260416666667
9B 3A 7F,E- major,0.00260416666667
8B 3A 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
80 3C 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
80 3C 7F,E- major,0.225260416667
9B 3A 7F,E- major,0.00260416666667
95 41 7F,E- major
85 41 7F,E- major,0.225260416667
8B 3A 7F,E- major
90 3C 7F,E- major,0.00260416666667
93 3F 7F,E- major
83 3F 7F,E- major,0.225260416667
80 3C 7F,E- major
98 38 7F,E- major,0.00260416666667
95 41 7F,E- major
88 38 7F,E- major,0.225260416667
9B 3A 7F,E- major,0.00260416666667
8B 3A 7F,E- major,0.225260416667
85 41 7F,E- major
97 37 7F,E- major,0.00260416666667
97 43 7F,E- major
87 37 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
87 43 7F,E- major
95 35 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.110677083333
97 43 7F,E- major,0.00260416666667
87 43 7F,E- major,0.110677083333
85 35 7F,E- major
93 3F 7F,E- major,0.00260416666667
98 44 7F,E- major
83 3F 7F,E- major,0.225260416667
92 3E 7F,E- major,0.00260416666667
88 44 7F,E- major,0.22265625
82 3E 7F,E- major,0.00260416666667
90 3C 7F,E- major,0.00260416666667
80 3C 7F,E- major,0.225260416667
92 3E 7F,E- major,0.00260416666667
9B 46 7F,E- major
82 3E 7F,E- major,0.225260416667
93 3F 7F,E- major,0.00260416666667
83 3F 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.01953125
80 3C 7F,E- major,0.205729166667
92 3E 7F,E- major,0.00260416666667
82 3E 7F,E- major,0.225260416667
93 33 7F,E- major,0.00260416666667
97 43 7F,E- major
83 33 7F,E- major,0.225260416667
93 3F 7F,E- major,0.00260416666667
83 3F 7F,E- major,0.225260416667
87 43 7F,E- major
92 3E 7F,E- major,0.00260416666667
90 48 7F,E- major
82 3E 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
80 3C 7F,E- major,0.225260416667
80 48 7F,E- major
92 3E 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.139322916667
90 48 7F,E- major,0.00260416666667
82 3E 7F,E- major,0.0833333333333
93 3F 7F,E- major,0.00260416666667
80 48 7F,E- major,0.0546875
9B 46 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.16796875
83 3F 7F,E- major
90 3C 7F,E- major,0.00260416666667
98 44 7F,E- major
80 3C 7F,E- major,0.225260416667
92 3E 7F,E- major,0.00260416666667
88 44 7F,E- major,0.1875
82 3E 7F,E- major,0.0377604166667
9B 3A 7F,E- major,0.00260416666667
97 43 7F,E- major
87 43 7F,E- major,0.225260416667
8B 3A 7F,E- major
93 3F 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
83 3F 7F,E- major
92 3E 7F,E- major,0.00260416666667
9B 46 7F,E- major
8B 46 7F,E- major,0.225260416667
82 3E 7F,E- major
90 3C 7F,E- major,0.00260416666667
98 44 7F,E- major
88 44 7F,E- major,0.225260416667
80 3C 7F,E- major
9B 3A 7F,E- major,0.00260416666667
97 43 7F,E- major
8B 3A 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
80 3C 7F,E- major,0.225260416667
87 43 7F,E- major
98 38 7F,E- major,0.00260416666667
95 41 7F,E- major
88 38 7F,E- major,0.225260416667
9B 3A 7F,E- major,0.00260416666667
85 41 7F,E- major,0.2109375
8B 3A 7F,E- major,0.0143229166667
97 37 7F,E- major,0.00260416666667
93 3F 7F,E- major
87 37 7F,E- major,0.225260416667
90 3C 7F,E- major,0.00260416666667
83 3F 7F,E- major,0.208333333333
80 3C 7F,E- major,0.0169270833333
9B 3A 7F,E- major,0.00260416666667
95 4D 7F,E- major
8B 3A 7F,E- major,0.225260416667
98 38 7F,E- major,0.00260416666667
88 38 7F,E- major,0.225260416667
85 4D 7F,E- major
97 37 7F,E- major,0.00260416666667
93 4B 7F,E- major
83 4B 7F,E- major,0.149739583333
95 4D 7F,E- major,0.00260416666667
87 37 7F,E- major,0.0729166666667
98 38 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.0729166666667
93 4B 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.149739583333
88 38 7F,E- major
95 35 7F,E- major,0.00260416666667
91 49 7F,E- major
85 35 7F,E- major,0.225260416667
97 37 7F,E- major,0.00260416666667
81 49 7F,E- major,0.196614583333
87 37 7F,E- major,0.0286458333333
93 33 7F,E- major,0.00260416666667
90 48 7F,E- major
80 48 7F,E- major,0.225260416667
83 33 7F,E- major
98 38 7F,E- major,0.00260416666667
91 49 7F,E- major
81 49 7F,E- major,0.225260416667
88 38 7F,E- major
97 37 7F,E- major,0.00260416666667
93 4B 7F,E- major
83 4B 7F,E- major,0.225260416667
87 37 7F,E- major
95 35 7F,E- major,0.00260416666667
91 49 7F,E- major
81 49 7F,E- major,0.225260416667
85 35 7F,E- major
93 33 7F,E- major,0.00260416666667
90 48 7F,E- major
83 33 7F,E- major,0.225260416667
95 35 7F,E- major,0.00260416666667
85 35 7F,E- major,0.225260416667
80 48 7F,E- major
91 31 7F,E- major,0.00260416666667
9B 46 7F,E- major
81 31 7F,E- major,0.225260416667
93 33 7F,E- major,0.00260416666667
8B 46 7F,E- major,0.2109375
83 33 7F,E- major,0.0143229166667
90 30 7F,E- major,0.00260416666667
98 44 7F,E- major
80 30 7F,E- major,0.2265625
95 35 7F,E- major,0.00260416666667
85 35 7F,E- major,0.2265625
88 44 7F,E- major
93 33 7F,E- major,0.00260416666667
90 48 7F,E- major
83 33 7F,E- major,0.2265625
91 31 7F,E- major,0.00260416666667
80 48 7F,E- major,0.200520833333
81 31 7F,E- major,0.0260416666667
90 30 7F,E- major,0.00260416666667
93 4B 7F,E- major
80 30 7F,E- major,0.2265625
91 31 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.200520833333
81 31 7F,E- major,0.0260416666667
9B 2E 7F,E- major,0.00260416666667
98 50 7F,E- major
8B 2E 7F,E- major,0.2265625
90 30 7F,E- major,0.00260416666667
80 30 7F,E- major,0.2265625
95 29 7F,E- major,0.00260416666667
85 29 7F,E- major,0.227864583333
88 50 7F,E- major
93 33 7F,E- major,0.00260416666667
95 4D 7F,E- major
85 4D 7F,E- major,0.227864583333
83 33 7F,E- major
92 32 7F,E- major,0.00260416666667
97 4F 7F,E- major
87 4F 7F,E- major,0.227864583333
82 32 7F,E- major
90 30 7F,E- major,0.00260416666667
98 50 7F,E- major
88 50 7F,E- major,0.227864583333
80 30 7F,E- major
92 32 7F,E- major,0.00260416666667
9B 52 7F,E- major
82 32 7F,E- major,0.227864583333
93 33 7F,E- major,0.00260416666667
83 33 7F,E- major,0.227864583333
8B 52 7F,E- major
90 30 7F,E- major,0.00260416666667
98 50 7F,E- major
80 30 7F,E- major,0.227864583333
92 32 7F,E- major,0.00260416666667
82 32 7F,E- major,0.227864583333
88 50 7F,E- major
93 33 7F,E- major,0.0130208333333
97 4F 7F,E- major
83 33 7F,E- major,0.497395833333
97 2B 7F,E- major,0.00260416666667
87 4F 7F,E- major,0.122395833333
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.122395833333
93 4B 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.122395833333
95 4D 7F,E- major,0.00260416666667
85 4D 7F,E- major,0.122395833333
87 2B 7F,E- major
98 2C 7F,E- major,0.00260416666667
97 4F 7F,E- major
87 4F 7F,E- major,0.147135416667
95 4D 7F,E- major
85 4D 7F,E- major,0.0989583333333
97 4F 7F,E- major
87 4F 7F,E- major,0.0989583333333
95 4D 7F,E- major
85 4D 7F,E- major,0.0989583333333
97 4F 7F,E- major
88 2C 7F,E- major,0.0963541666667
87 4F 7F,E- major,0.00260416666667
9B 2E 7F,E- major
95 4D 7F,E- major
85 4D 7F,E- major,0.26953125
93 4B 7F,E- major,0.00260416666667
83 4B 7F,E- major,0.26953125
8B 2E 7F,E- major
93 4B 7F,E- major,0.0234375
93 27 7F,E- major
83 27 7F,E- major,2.39322916667
83 4B 7F,E- major
FF 2F 00,E- major,4.34765625

FF 51 03 07 A1 20,E major
FF 58 04 04 02 18 08,E major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,E major
C0 06,E major
E0 00 40,E major
C1 06,E major
E1 70 3C,E major
C2 06,E major
E2 44 3D,E major
C3 06,E major
E3 10 3E,E major
C4 06,E major
E4 70 3C,E major
C5 06,E major
E5 30 3F,E major
C6 06,E major
E6 20 3C,E major
C7 06,E major
E7 65 3E,E major
C8 06,E major
E8 40 3D,E major
CA 06,E major
EA 20 3C,E major
CB 06,E major
EB 60 3E,E major
CC 06,E major
EC 40 3D,E major
FF 03 07 54 72 61 63 6B 20 31,E major
FF 03 04 4D 49 44 49,E major
94 34 7F,E major,0.125
94 4C 7F,E major,0.259114583333
84 34 7F,E major,0.256510416667
96 36 7F,E major,0.00260416666667
84 4C 7F,E major,0.256510416667
93 4B 7F,E major,0.00260416666667
86 36 7F,E major,0.256510416667
98 38 7F,E major,0.00260416666667
83 4B 7F,E major,0.256510416667
92 4A 7F,E major,0.00260416666667
88 38 7F,E major,0.256510416667
9A 39 7F,E major,0.00260416666667
82 4A 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
8A 39 7F,E major,0.256510416667
9C 3B 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
8C 3B 7F,E major,0.256510416667
91 3D 7F,E major,0.00260416666667
8C 47 7F,E major,0.256510416667
9A 45 7F,E major,0.00260416666667
81 3D 7F,E major,0.256510416667
93 3F 7F,E major,0.00260416666667
8A 45 7F,E major,0.256510416667
98 44 7F,E major,0.00260416666667
83 3F 7F,E major,0.256510416667
94 40 7F,E major,0.00260416666667
84 40 7F,E major,0.256510416667
88 44 7F,E major
93 3F 7F,E major,0.00260416666667
96 42 7F,E major
83 3F 7F,E major,0.256510416667
91 3D 7F,E major,0.00260416666667
81 3D 7F,E major,0.256510416667
86 42 7F,E major
9C 3B 7F,E major,0.00260416666667
98 44 7F,E major
88 44 7F,E major,0.126302083333
9A 45 7F,E major,0.00260416666667
8A 45 7F,E major,0.126302083333
8C 3B 7F,E major
94 40 7F,E major,0.00260416666667
98 44 7F,E major
88 44 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
8C 47 7F,E major,0.126302083333
9A 45 7F,E major,0.00260416666667
8A 45 7F,E major,0.126302083333
94 34 7F,E major,0.00260416666667
9C 47 7F,E major
8C 47 7F,E major,0.256510416667
98 44 7F,E major,0.00260416666667
88 44 7F,E major,0.126302083333
96 42 7F,E major,0.00260416666667
84 40 7F,E major,0.118489583333
86 42 7F,E major,0.0078125
98 44 7F,E major,0.00260416666667
84 34 7F,E major,0.236979166667
88 44 7F,E major,0.0182291666667
94 40 7F,E major,0.00260416666667
84 40 7F,E major,0.126302083333
93 3F 7F,E major,0.00260416666667
83 3F 7F,E major,0.126302083333
94 40 7F,E major,0.00260416666667
94 34 7F,E major,0.259114583333
84 40 7F,E major,0.256510416667
96 42 7F,E major,0.00260416666667
84 34 7F,E major,0.256510416667
93 33 7F,E major,0.00260416666667
86 42 7F,E major,0.256510416667
98 44 7F,E major,0.00260416666667
83 33 7F,E major,0.256510416667
92 32 7F,E major,0.00260416666667
88 44 7F,E major,0.256510416667
9A 45 7F,E major,0.00260416666667
82 32 7F,E major,0.256510416667
91 31 7F,E major,0.00260416666667
8A 45 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
81 31 7F,E major,0.256510416667
9C 2F 7F,E major,0.00260416666667
8C 47 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
8C 2F 7F,E major,0.256510416667
9A 2D 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
93 4B 7F,E major,0.00260416666667
8A 2D 7F,E major,0.256510416667
98 2C 7F,E major,0.00260416666667
83 4B 7F,E major,0.256510416667
94 4C 7F,E major,0.00260416666667
84 4C 7F,E major,0.256510416667
88 2C 7F,E major
96 2A 7F,E major,0.00260416666667
93 4B 7F,E major
83 4B 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
86 2A 7F,E major
98 2C 7F,E major,0.00260416666667
9C 47 7F,E major
88 2C 7F,E major,0.126302083333
9A 2D 7F,E major,0.00260416666667
8A 2D 7F,E major,0.126302083333
8C 47 7F,E major
98 2C 7F,E major,0.00260416666667
94 4C 7F,E major
88 2C 7F,E major,0.256510416667
9C 2F 7F,E major,0.00260416666667
8C 2F 7F,E major,0.126302083333
9A 2D 7F,E major,0.00260416666667
8A 2D 7F,E major,0.126302083333
9C 2F 7F,E major,0.00260416666667
94 40 7F,E major
8C 2F 7F,E major,0.256510416667
98 2C 7F,E major,0.00260416666667
88 2C 7F,E major,0.126302083333
96 2A 7F,E major,0.00260416666667
86 2A 7F,E major,0.126302083333
98 2C 7F,E major,0.00260416666667
88 2C 7F,E major,0.256510416667
84 4C 7F,E major,0.00260416666667
94 28 7F,E major
84 28 7F,E major,0.126302083333
93 27 7F,E major,0.00260416666667
84 40 7F,E major,0.118489583333
83 27 7F,E major,0.0078125
94 28 7F,E major,0.00260416666667
98 50 7F,E major,0.259114583333
84 28 7F,E major,0.256510416667
91 31 7F,E major,0.00260416666667
88 50 7F,E major,0.256510416667
94 4C 7F,E major,0.00260416666667
81 31 7F,E major,0.256510416667
94 34 7F,E major,0.00260416666667
84 4C 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
84 34 7F,E major,0.256510416667
96 36 7F,E major,0.00260416666667
81 49 7F,E major,0.19921875
94 4C 7F,E major,0.0598958333333
84 4C 7F,E major,0.126302083333
93 4B 7F,E major,0.00260416666667
83 4B 7F,E major,0.126302083333
86 36 7F,E major
9B 3A 7F,E major,0.00260416666667
94 4C 7F,E major
84 4C 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
8B 3A 7F,E major
91 3D 7F,E major,0.00260416666667
9B 46 7F,E major
8B 46 7F,E major,0.256510416667
96 42 7F,E major,0.00260416666667
81 3D 7F,E major,0.256510416667
93 27 7F,E major,0.00260416666667
86 42 7F,E major,0.256510416667
96 4E 7F,E major,0.00260416666667
83 27 7F,E major,0.256510416667
9C 2F 7F,E major,0.00260416666667
86 4E 7F,E major,0.256510416667
93 4B 7F,E major,0.00260416666667
8C 2F 7F,E major,0.256510416667
93 33 7F,E major,0.00260416666667
83 4B 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
83 33 7F,E major,0.256510416667
94 34 7F,E major,0.00260416666667
8C 47 7F,E major,0.19921875
93 4B 7F,E major,0.0598958333333
83 4B 7F,E major,0.126302083333
91 49 7F,E major,0.00260416666667
81 49 7F,E major,0.126302083333
84 34 7F,E major
98 38 7F,E major,0.00260416666667
93 4B 7F,E major
83 4B 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
8C 47 7F,E major,0.256510416667
88 38 7F,E major
9C 3B 7F,E major,0.00260416666667
98 44 7F,E major
88 44 7F,E major,0.256510416667
94 40 7F,E major,0.00260416666667
8C 3B 7F,E major,0.256510416667
91 25 7F,E major,0.00260416666667
84 40 7F,E major,0.256510416667
94 4C 7F,E major,0.00260416666667
81 25 7F,E major,0.256510416667
91 31 7F,E major,0.00260416666667
84 4C 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
81 31 7F,E major,0.256510416667
94 34 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
9B 46 7F,E major,0.00260416666667
84 34 7F,E major,0.256510416667
96 36 7F,E major,0.00260416666667
8B 46 7F,E major,0.212239583333
98 50 7F,E major,0.0455729166667
86 36 7F,E major,0.256510416667
98 38 7F,E major,0.00260416666667
88 50 7F,E major,0.256510416667
96 4E 7F,E major,0.00260416666667
88 38 7F,E major,0.256510416667
9B 3A 7F,E major,0.00260416666667
86 4E 7F,E major,0.256510416667
94 4C 7F,E major,0.00260416666667
8B 3A 7F,E major,0.256510416667
9C 3B 7F,E major,0.00260416666667
84 4C 7F,E major,0.234375
93 4B 7F,E major,0.0247395833333
8C 3B 7F,E major,0.256510416667
94 34 7F,E major,0.00260416666667
83 4B 7F,E major,0.256510416667
91 49 7F,E major,0.00260416666667
84 34 7F,E major,0.256510416667
98 38 7F,E major,0.00260416666667
81 49 7F,E major,0.256510416667
9C 47 7F,E major,0.00260416666667
8C 47 7F,E major,0.256510416667
88 38 7F,E major
96 36 7F,E major,0.00260416666667
9B 46 7F,E major
8B 46 7F,E major,0.256510416667
86 36 7F,E major
91 3D 7F,E major,0.00260416666667
94 40 7F,E major
84 40 7F,E major,0.126302083333
93 3F 7F,E major,0.00260416666667
83 3F 7F,E major,0.126302083333
81 3D 7F,E major
9B 3A 7F,E major,0.00260416666667
94 40 7F,E major
84 40 7F,E major,0.256510416667
8B 3A 7F,E major
